Listing_Quarter,Listing_Price,Listing_Price000,Property_Type_Code,Selling_Date,Selling_Price,Square_Footage,Subdist_Desc,District
2017Q3,167093,167.093,COND,10/27/17,167093,237,9 - Yerba Buena,9
2017Q2,448000,448,COND,7/10/17,435000,259,9 - Yerba Buena,9
2017Q1,379000,379,COND,6/14/17,455000,260,8 - Nob Hill,8
2017Q3,439800,439.8,COND,9/15/17,452000,265,9 - Yerba Buena,9
2017Q1,418000,418,COND,3/10/17,443000,277,9 - Yerba Buena,9
2017Q4,388000,388,COND,2/16/18,380000,284,6 - North Panhandle,6
2017Q2,389000,389,COND,9/8/17,400000,291,9 - South of Market,9
2017Q1,499000,499,COND,3/2/17,520000,300,9 - Inner Mission,9
2017Q4,400000,400,COND,1/31/18,440000,306,6 - North Panhandle,6
2017Q2,349000,349,COND,6/27/17,428150,312,9 - Inner Mission,9
2017Q2,405000,405,COND,6/16/17,422500,320,8 - Nob Hill,8
2017Q3,498000,498,COND,1/8/18,475000,328,8 - Downtown,8
2017Q2,449000,449,COND,8/11/17,465000,329,9 - South of Market,9
2017Q3,449000,449,COND,10/16/17,449000,330,8 - Nob Hill,8
2017Q1,405000,405,COND,4/19/17,417500,344,9 - Inner Mission,9
2017Q3,519000,519,COND,1/4/18,465000,347,9 - South Beach,9
2017Q4,540000,540,COND,12/28/17,600000,363,5 - Mission Dolores,5
2017Q1,455000,455,COND,5/24/17,455000,390,8 - Downtown,8
2017Q2,231129,231.129,COND,10/11/17,231129,409,4 - Diamond Heights,4
2017Q2,474000,474,COND,6/30/17,474000,409,7 - Pacific Heights,7
2017Q4,549000,549,COND,12/14/17,580000,409,9 - Yerba Buena,9
2017Q3,499000,499,COND,9/20/17,540000,410,9 - South Beach,9
2017Q1,350000,350,COND,2/8/17,445000,412,1 - Central Richmond,1
2017Q1,399000,399,COND,4/14/17,505000,414,8 - Van Ness/Civic Cente,8
2017Q3,399000,399,COND,10/13/17,454000,414,8 - Van Ness/Civic Cente,8
2017Q3,415827,415.827,COND,2/20/18,415827,418,9 - South of Market,9
2017Q4,562000,562,COND,2/26/18,562000,423,9 - South of Market,9
2017Q1,509000,509,COND,3/31/17,492000,427,9 - South Beach,9
2017Q4,549000,549,COND,12/22/17,550000,432,9 - South Beach,9
2017Q2,629000,629,COND,6/14/17,615000,437,8 - Nob Hill,8
2017Q4,625000,625,COND,1/25/18,625000,437,9 - Inner Mission,9
2017Q1,459000,459,COND,4/12/17,447500,442,8 - Van Ness/Civic Cente,8
2017Q3,699950,699.95,COND,2/22/18,730000,450,5 - Eureka Valley/Dolore,5
2017Q4,499000,499,COND,1/12/18,605000,450,8 - Downtown,8
2017Q2,499000,499,COND,9/13/17,490000,450,9 - South of Market,9
2017Q2,590000,590,COND,7/25/17,600000,455,9 - Inner Mission,9
2017Q1,599000,599,COND,5/19/17,599000,456,9 - Inner Mission,9
2017Q1,475000,475,COND,6/28/17,500000,456,9 - Potrero Hill,9
2017Q1,499000,499,COND,2/3/17,545000,458,9 - Potrero Hill,9
2017Q2,599000,599,COND,8/18/17,625000,473,6 - North Panhandle,6
2017Q1,400000,400,COND,3/3/17,420000,474,4 - Diamond Heights,4
2017Q1,425000,425,COND,4/11/17,463000,474,4 - Diamond Heights,4
2017Q3,399000,399,COND,8/15/17,405000,474,4 - Diamond Heights,4
2017Q3,420000,420,COND,11/15/17,445000,474,4 - Diamond Heights,4
2017Q1,535000,535,COND,4/4/17,535000,477,8 - North Waterfront,8
