District,Selling_Price_Avg,NumberOfUnits,Square_Footage_Avg,Selling_Price_Sum,Selling_Price_Sum000,Year
1,1718501.16,324,1919.787986,556794375,556.794375,2016
2,1245945.74,432,1594.669231,538248561,538.248561,2016
3,1026326.37,240,1504.80531,246318328,246.318328,2016
4,1482667.33,338,1849.375,501141556,501.141556,2016
5,1773489.99,732,1729.273369,1298194676,1298.194676,2016
6,1233941.30,360,1229.277397,444218868,444.218868,2016
7,2755384.78,407,2084.066265,1121441607,1121.441607,2016
8,1411773.48,494,1173.408521,697416099,697.416099,2016
9,1228496.54,1189,1197.660321,1460682383,1460.682383,2016
10,829636.56,492,1374.222958,408181189,408.181189,2016
